iter	Passed	Remaining
0	18	1424
1	65	2560
2	111	2857
3	170	3230
4	219	3290
5	277	3425
6	337	3517
7	367	3304
8	418	3302
9	462	3240
10	506	3178
11	550	3119
12	593	3059
13	641	3023
14	669	2900
15	723	2894
16	802	2975
17	867	2989
18	932	2993
19	999	2999
20	1076	3024
21	1140	3006
22	1202	2979
23	1242	2898
24	1298	2855
25	1359	2823
26	1411	2770
27	1464	2720
28	1525	2683
29	1574	2624
30	1659	2622
31	1708	2562
32	1758	2504
33	1808	2446
34	1931	2483
35	2040	2494
36	2122	2467
37	2198	2429
38	2269	2385
39	2323	2323
40	2380	2264
41	2454	2221
42	2557	2201
43	2641	2160
44	2732	2125
45	2862	2115
46	2944	2067
47	3016	2011
48	3087	1953
49	3155	1893
50	3223	1832
51	3282	1767
52	3340	1701
53	3400	1637
54	3450	1568
55	3502	1501
56	3553	1434
57	3603	1366
58	3653	1300
59	3706	1235
60	3755	1169
61	3803	1104
62	3854	1040
63	3905	976
64	3955	912
65	4009	850
66	4055	786
67	4116	726
68	4173	665
69	4228	604
70	4280	542
71	4327	480
72	4396	421
73	4519	366
74	4603	306
75	4677	246
76	4738	184
77	4839	124
78	4928	62
79	4995	0
