iter	Logloss	Accuracy
0	0.3971306723	0.9421705131
1	0.2946036254	0.9421705131
2	0.2446099231	0.9421705131
3	0.2211549622	0.9421705131
4	0.200582287	0.9420942209
5	0.1912649126	0.9441541102
6	0.1844001862	0.9441541102
7	0.1814791049	0.9449170322
8	0.1788131489	0.9455273698
9	0.1772081552	0.9456418081
10	0.1759964191	0.9457181003
11	0.1756791875	0.9459469769
12	0.1747632036	0.9459469769
13	0.1741151068	0.9460995613
14	0.1737087249	0.9465954606
15	0.1735967659	0.9466717528
16	0.1731423318	0.9465191684
17	0.1730916316	0.9466717528
18	0.1730211559	0.9466717528
19	0.1726931201	0.9465954606
20	0.1720139569	0.9472439443
21	0.1718006447	0.947129506
22	0.1705773595	0.9476635514
23	0.1699711169	0.9473965287
24	0.1696500575	0.9474346748
25	0.1695909353	0.9473965287
26	0.1692754532	0.9477016975
27	0.168424433	0.9474728209
28	0.1683136085	0.9475491131
29	0.1679855712	0.9475872592
30	0.1674992509	0.9479305741
31	0.1673774835	0.9477779897
32	0.1673363493	0.9478161358
33	0.1672173943	0.9478542819
34	0.1669509757	0.9480450124
35	0.1668463417	0.9483120351
36	0.1667474645	0.9485027656
37	0.1667302153	0.9485409117
38	0.1666675142	0.9484264734
39	0.1666540804	0.9484264734
40	0.1663713653	0.9484264734
41	0.1663139272	0.9483883273
42	0.166165479	0.9484646195
43	0.1658663611	0.9487316422
44	0.1658003807	0.9487316422
45	0.1657417494	0.9487697883
46	0.1656397574	0.9488079344
47	0.1655330732	0.9487316422
48	0.1654662131	0.9487316422
49	0.1654580665	0.9487697883
