iter	Passed	Remaining
0	24	1214
1	40	963
2	77	1210
3	107	1237
4	145	1307
5	176	1296
6	209	1286
7	241	1270
8	274	1252
9	306	1225
10	337	1195
11	368	1165
12	399	1137
13	432	1112
14	463	1081
15	494	1050
16	526	1021
17	557	990
18	606	990
19	642	964
20	673	929
21	703	895
22	734	862
23	769	833
24	800	800
25	831	767
26	864	736
27	897	705
28	930	673
29	1021	681
30	1061	650
31	1092	614
32	1127	580
33	1165	548
34	1202	515
35	1239	482
36	1306	459
37	1339	422
38	1366	385
39	1392	348
40	1417	311
41	1443	274
42	1470	239
43	1497	204
44	1523	169
45	1549	134
46	1576	100
47	1608	67
48	1639	33
49	1671	0
