iter	Passed	Remaining
0	30	3053
1	69	3399
2	108	3507
3	144	3469
4	178	3384
5	210	3290
6	243	3228
7	277	3188
8	314	3176
9	351	3163
10	386	3126
11	424	3110
12	458	3068
13	492	3024
14	527	2986
15	562	2952
16	599	2927
17	637	2904
18	676	2885
19	709	2836
20	741	2787
21	773	2742
22	805	2697
23	837	2651
24	875	2625
25	949	2703
26	981	2653
27	1012	2604
28	1045	2558
29	1081	2523
30	1115	2482
31	1147	2437
32	1179	2394
33	1210	2350
34	1242	2308
35	1274	2266
36	1313	2237
37	1356	2213
38	1388	2172
39	1420	2130
40	1452	2089
41	1484	2049
42	1515	2009
43	1547	1969
44	1579	1930
45	1610	1891
46	1644	1854
47	1676	1816
48	1708	1778
49	1740	1740
50	1772	1702
51	1803	1665
52	1836	1628
53	1867	1590
54	1903	1557
55	1934	1520
56	1965	1483
57	1997	1446
58	2028	1409
59	2059	1373
60	2090	1336
61	2121	1300
62	2156	1266
63	2187	1230
64	2218	1194
65	2250	1159
66	2277	1121
67	2314	1089
68	2356	1058
69	2393	1025
70	2426	991
71	2462	957
72	2496	923
73	2529	888
74	2564	854
75	2599	821
76	2637	787
77	2675	754
78	2716	722
79	2758	689
80	2798	656
81	2841	623
82	2882	590
83	2922	556
84	2965	523
85	3007	489
86	3047	455
87	3088	421
88	3127	386
89	3167	351
90	3207	317
91	3248	282
92	3288	247
93	3329	212
94	3375	177
95	3423	142
96	3464	107
97	3498	71
98	3541	35
99	3589	0
